subscription_id,customer_id,plan_id,start_date,end_date,status,auto_renew
10b758ef-83d8-4c62-a6d4-662b64d65ccb,ed43e3e4-c1f1-4d75-b793-93eb9e03c3b4,8e481eae-2a55-4b20-96f7-2f696903aef1,2023-08-03,2023-08-20,canceled,False
24773376-c839-4992-bc7e-da80dd49d2b9,ed43e3e4-c1f1-4d75-b793-93eb9e03c3b4,c55ebfae-af13-45e0-904f-c57ed6dfd583,2023-12-26,2024-03-21,canceled,False
3f13eff4-fe5b-4898-8d90-3e0bcc7aabe4,ed43e3e4-c1f1-4d75-b793-93eb9e03c3b4,c55ebfae-af13-45e0-904f-c57ed6dfd583,2024-02-27,2024-03-19,canceled,False
e95343db-47ca-4260-9945-4c69c3c63a21,2f421c92-c0fb-4f81-9376-9b29793e6552,c55ebfae-af13-45e0-904f-c57ed6dfd583,2021-06-03,2022-05-22,canceled,False
0118ba2c-3ae8-45ad-8857-3be888703086,2f421c92-c0fb-4f81-9376-9b29793e6552,8e481eae-2a55-4b20-96f7-2f696903aef1,2022-05-18,2023-11-08,canceled,False
640c23e0-cdbe-46ec-a5d8-2133328a95f9,2f421c92-c0fb-4f81-9376-9b29793e6552,8e481eae-2a55-4b20-96f7-2f696903aef1,2023-10-13,2023-10-30,canceled,False
58626946-639e-45aa-9451-17384a457a27,d517e303-491e-4d0f-8240-527ee42296b1,8e481eae-2a55-4b20-96f7-2f696903aef1,2023-11-02,2024-11-19,canceled,False
5493d651-2293-44ff-892a-1bc2114edfda,d517e303-491e-4d0f-8240-527ee42296b1,8e481eae-2a55-4b20-96f7-2f696903aef1,2024-11-13,2024-12-07,canceled,False
9ba979aa-ab32-48e0-b579-789d28ad6e84,d517e303-491e-4d0f-8240-527ee42296b1,8e481eae-2a55-4b20-96f7-2f696903aef1,2024-11-30,2024-12-28,canceled,False
dfb0db96-af35-4f92-af95-f09b598fa8aa,08271e95-9b15-4dc5-b0c8-e4711fc21fee,c55ebfae-af13-45e0-904f-c57ed6dfd583,2020-03-07,2020-03-26,canceled,False
9d87b391-cf47-4e50-849a-d2a397ef4c9a,08271e95-9b15-4dc5-b0c8-e4711fc21fee,c55ebfae-af13-45e0-904f-c57ed6dfd583,2020-05-23,2020-07-21,canceled,False
8df1b144-2b23-4016-90a3-b9ede5ca9c76,08271e95-9b15-4dc5-b0c8-e4711fc21fee,8e481eae-2a55-4b20-96f7-2f696903aef1,2020-07-09,2023-06-17,canceled,False
bfec57c8-7a74-4ffb-a6a4-31a6e31403ab,bb68309c-8f92-4c68-82a6-7e51ff8b06d5,eb19d54f-75b5-4e5e-882b-89d761f1a132,2022-11-15,2024-12-01,canceled,False
2f5bfbfa-27dd-459e-9826-cf13294dfd5e,bb68309c-8f92-4c68-82a6-7e51ff8b06d5,eb19d54f-75b5-4e5e-882b-89d761f1a132,2024-12-06,,active,True
56a00b92-4c6e-4c92-b975-343ce23001f5,d954eddd-1209-4c85-8c03-4151b3f29bdb,eb19d54f-75b5-4e5e-882b-89d761f1a132,2024-01-24,,past_due,False
b8f0fbbd-3c4d-4435-991c-7d3c3ef69eec,551e0ae1-a27e-44fc-a38d-b784cc88d425,c55ebfae-af13-45e0-904f-c57ed6dfd583,2023-05-08,2023-07-01,canceled,False
ca1a5751-ae42-4ee4-9cd5-13adc9d7db9e,551e0ae1-a27e-44fc-a38d-b784cc88d425,c55ebfae-af13-45e0-904f-c57ed6dfd583,2023-06-24,2023-07-18,canceled,False
24989a3e-d0e2-4a74-88ac-e9fb8cb9a647,551e0ae1-a27e-44fc-a38d-b784cc88d425,c55ebfae-af13-45e0-904f-c57ed6dfd583,2023-06-26,2023-07-16,canceled,False
2a0fa2ba-9408-4ed2-a4eb-01b31852bcd8,d7435580-732d-42cf-86a2-d8818f40ec28,32b15e00-876d-4375-87b9-7dd44fe61f63,2020-11-23,2020-12-12,canceled,False
8eb137dd-0941-41ea-a64b-ab633b702346,d7435580-732d-42cf-86a2-d8818f40ec28,32b15e00-876d-4375-87b9-7dd44fe61f63,2021-12-03,2022-11-20,canceled,False
64ad0368-ae2b-4b47-905e-4f3cb981a1b8,d7435580-732d-42cf-86a2-d8818f40ec28,32b15e00-876d-4375-87b9-7dd44fe61f63,2021-12-20,2022-12-10,canceled,False
4feb9055-548f-4e13-9443-3517d71efc1e,bf9d266e-2162-4691-811a-7528e2c21639,8e481eae-2a55-4b20-96f7-2f696903aef1,2021-03-17,2021-04-03,canceled,False
282e7559-a82f-4969-83a6-287a80396404,bf9d266e-2162-4691-811a-7528e2c21639,8e481eae-2a55-4b20-96f7-2f696903aef1,2021-10-03,2021-10-20,canceled,False
fdbe2598-3ce2-452c-9820-a6835b11b23f,bf9d266e-2162-4691-811a-7528e2c21639,8e481eae-2a55-4b20-96f7-2f696903aef1,2022-07-03,2022-07-22,canceled,False
cfdff617-931f-436a-8ab9-15f57bc722a5,88cc8a7f-1ce8-48fb-9a42-7ac86a577bbe,eb19d54f-75b5-4e5e-882b-89d761f1a132,2020-08-02,2022-01-16,canceled,False
e8dd9f6c-83eb-4e6d-b305-f5dea4db69f6,88cc8a7f-1ce8-48fb-9a42-7ac86a577bbe,eb19d54f-75b5-4e5e-882b-89d761f1a132,2022-01-28,2022-05-24,canceled,False
2255155c-7a20-492f-9cff-e958fffd6061,88cc8a7f-1ce8-48fb-9a42-7ac86a577bbe,eb19d54f-75b5-4e5e-882b-89d761f1a132,2022-05-01,2022-06-03,canceled,False
f3e54b82-f908-4ff0-b69d-e54def02a9a4,de89b3e6-997a-4ab5-8023-f4c2264c6239,c55ebfae-af13-45e0-904f-c57ed6dfd583,2024-07-27,,past_due,False
650c5518-cc1f-4d9c-95de-4d807684a3ba,ae362399-319d-48db-9898-479ab95d6d0f,eb19d54f-75b5-4e5e-882b-89d761f1a132,2022-03-03,2024-05-11,canceled,False
0f7b7de4-9c8c-472b-819f-72e3003d68a8,ae362399-319d-48db-9898-479ab95d6d0f,eb19d54f-75b5-4e5e-882b-89d761f1a132,2024-04-23,2024-05-25,canceled,False
bb4063a6-e6a4-4d5a-aeaa-c2b908d7b64a,ae362399-319d-48db-9898-479ab95d6d0f,eb19d54f-75b5-4e5e-882b-89d761f1a132,2024-11-13,,active,True
309ca368-707f-4d22-80b3-df43931b6297,ecc8e572-9b07-4930-a880-5b695b56561b,32b15e00-876d-4375-87b9-7dd44fe61f63,2023-06-23,2023-07-14,canceled,False
